last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Urías, Ramón,602104,204,9.7,31.9,109.5,89.5,92.6,87.4,416,147,393,80,39.2,18,8.8,5.8
Trout, Mike,545361,203,19.2,38.4,114.3,92.1,96,90.5,461,198,416,107,52.7,33,16.3,9.2
Castro, Willi,650489,203,14.4,37.9,114.2,86.7,91,83.4,440,169,418,68,33.5,14,6.9,4.4
Mateo, Jorge,622761,202,9.8,26.7,112.4,88,93,84.3,433,151,404,76,37.6,12,5.9,4.1
Díaz, Aledmys,649557,201,9.4,26.9,108.2,88.3,90.9,88.5,383,139,370,70,34.8,5,2.5,1.8
Pasquantino, Vinnie,686469,201,17.4,37.8,109.8,89.3,92.1,88.5,424,182,395,81,40.3,15,7.5,5.8
Ibáñez, Andy,628451,201,12.7,33.8,108,89.7,92.8,88.4,427,173,407,89,44.3,20,10,7.5
Vargas, Miguel,678246,200,16.6,32,109,86.8,91.6,82.7,425,176,401,63,31.5,12,6,3.9
Buxton, Byron,621439,199,20.1,33.2,116.9,91.5,97.3,83.1,466,192,406,91,45.7,29,14.6,8.4
Newman, Kevin,621028,198,12,34.8,105.7,86.5,89.7,84,405,159,382,58,29.3,5,2.5,2
Carpenter, Kerry,681481,198,14.2,36.4,109.3,90.3,95,85.6,434,181,388,86,43.9,22,11.1,7.7
Pederson, Joc,592626,197,14.1,32,116.6,91.7,96.1,88.1,432,181,399,102,51.8,25,12.7,8.2
Suwinski, Jack,669261,197,23.6,34,114.7,91.7,94.9,87.1,461,216,416,94,47.7,36,18.3,9.2
Moustakas, Mike,519058,196,16,28.1,112.9,89.2,93,87.4,454,176,412,82,42.7,14,7.1,4.8
Meyers, Jake,676694,195,12.3,35.4,108.3,86,91.6,80.4,423,160,393,56,28.7,13,6.7,4.3
Bryant, Kris,592178,195,14.2,34.9,108.8,86,91.2,79.5,448,177,412,61,31.3,10,5.1,3.6
Baty, Brett,683146,193,5.9,32.6,113.7,89.9,95.6,85.8,430,147,406,86,44.6,14,7.3,4.5
Lowe, Brandon,664040,193,16.7,31.6,108.4,90.7,94.4,87.7,431,179,398,87,45.1,22,11.4,6.8
Tellez, Rowdy,642133,192,15.7,35.9,114.8,89.3,92.5,87.7,429,184,397,74,38.5,16,8.3,5.6
Cron, C.J.,543068,192,12.8,32.3,114.5,87.8,95,81.6,479,167,411,78,40.6,27,14.1,9.9
Fortes, Nick,663743,192,13.6,30.7,108.5,88.2,92.2,86.4,426,160,408,66,34.4,8,4.2,3.1
Raley, Luke,670042,191,18.2,29.8,114.3,91.3,94.4,89.9,450,168,403,87,45.5,27,14.1,8.3
Thomas, Alek,677950,189,2.1,29.6,110.9,88.2,92.3,86,432,128,393,74,39.2,11,5.8,4.2
Blackmon, Charlie,453568,189,19.2,40.2,107.9,85.9,90.5,81.6,463,185,410,57,30.2,11,5.8,4.4
